case,depot_id,product_id,x0,raw_depot_id,raw_product_id,mapping_method,source_file,source_sha256,source_initial_inventory
210628,90015100,BAC---1041,0,90015100,BAC---1041,exact_identity_match,instances/210628/depot_90015100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015100,BAC-O-4312,0,90015100,BAC-O-4312,exact_identity_match,instances/210628/depot_90015100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015100,BAC-O-4325,0,90015100,BAC-O-4325,exact_identity_match,instances/210628/depot_90015100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015100,BAC-O-6423,0,90015100,BAC-O-6423,exact_identity_match,instances/210628/depot_90015100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015100,BAC-O-6433,0,90015100,BAC-O-6433,exact_identity_match,instances/210628/depot_90015100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015100,CON-S-0130,0,90015100,CON-S-0130,exact_identity_match,instances/210628/depot_90015100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015100,SLI---0770,0,90015100,SLI---0770,exact_identity_match,instances/210628/depot_90015100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015100,SLI---1200,0,90015100,SLI---1200,exact_identity_match,instances/210628/depot_90015100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015700,BAC---1041,0,90015700,BAC---1041,exact_identity_match,instances/210628/depot_90015700/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015700,BAC-O-4312,0,90015700,BAC-O-4312,exact_identity_match,instances/210628/depot_90015700/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015700,BAC-O-4325,0,90015700,BAC-O-4325,exact_identity_match,instances/210628/depot_90015700/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015700,BAC-O-6423,0,90015700,BAC-O-6423,exact_identity_match,instances/210628/depot_90015700/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015700,BAC-O-6433,0,90015700,BAC-O-6433,exact_identity_match,instances/210628/depot_90015700/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015700,CON-S-0130,0,90015700,CON-S-0130,exact_identity_match,instances/210628/depot_90015700/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015700,SLI---0770,0,90015700,SLI---0770,exact_identity_match,instances/210628/depot_90015700/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90015700,SLI---1200,0,90015700,SLI---1200,exact_identity_match,instances/210628/depot_90015700/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90016100,BAC---1041,0,90016100,BAC---1041,exact_identity_match,instances/210628/depot_90016100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90016100,BAC-O-4312,0,90016100,BAC-O-4312,exact_identity_match,instances/210628/depot_90016100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90016100,BAC-O-4325,0,90016100,BAC-O-4325,exact_identity_match,instances/210628/depot_90016100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90016100,BAC-O-6423,0,90016100,BAC-O-6423,exact_identity_match,instances/210628/depot_90016100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
210628,90016100,BAC-O-6433,0,90016100,BAC-O-6433,exact_identity_match,instances/210628/depot_90016100/per_commodity.csv,d8dfac7580837bd90107c6e6b55dc9bcf78c4daf404c8fbcfbcb9e19f1071158,0
