run_id,case,Gamma_token,Gamma,lambda_token,lambda_R,objective,fixed_cost,inventory_cost,reconfiguration_cost,robust_recourse_cost,transportation_cost,shortage_cost,service_penalty,total_shortage,average_fill_rate,minimum_fill_rate,B,budget_used,budget_utilization,budget_slack,RS,iterations,cuts,master_solves,subproblem_evaluations,lower_bound,upper_bound,relative_gap,status,certification_status,exact_certification_pass,reused,reuse_source_run,canonical_total_adjustment,RI,changed_pair_count,top_adjustment_share,material_reconfiguration,active_depots,active_depot_ids,positive_inventory_depot_ids,opened_depots,closed_depots,network_change,budget_binding,global_coupling_diagnostic_status,global_coupling_diagnostic_source_status,artifact_validation_pass,t_artifact_write_seconds,t_core_prb_seconds,t_exact_certification_seconds,t_instance_load_seconds,t_post_evaluation_seconds,t_reporting_seconds,t_reuse_validation_seconds,t_total_runner_wallclock_seconds,normalized_objective,normalized_robust_recourse
E7-210202-G0-L0025,210202,G0,0,L0025,0.0025,1034674.0388238505,1120.9560000000001,105389.99999900062,5.598603002641419e-09,928163.0828248442,3099.4167525383154,351522.9,573540.7660714287,5322.607142857141,0.13614501999661296,6.661338147750939e-16,106510.9559990062,106510.95599900623,1.0000000000000002,-2.9103830456733704e-11,5.2563634887416246e-14,8,19,8,72,1034674.0388238502,1034674.0388238446,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,,3.586692276513759e-08,4.3983437894540443e-11,0,0.5188558230513589,False,2,90016100|9624708,90016100|9624708,,,False,True,PASS,E7_RESULT,True,0.002012799999647541,0.2040586000039184,0.0032566999980190303,0.002447900002152892,0.011206200000742683,0.05035710000083782,5.306287399998837,5.73219600000084,1.0,1.0
E7-210202-G0-L0500,210202,G0,0,L0500,0.05,1034674.0388239038,1120.9560000000001,105389.99999899956,6.648138040077356e-09,928163.0828248976,3099.41675269835,351522.9,573540.7660714287,5322.607142857141,0.13614501999661563,4.440892098500626e-16,106510.9559990062,106510.95599900621,1.0000000000000002,-1.4551915228366852e-11,6.241741028161823e-14,5,13,5,48,1034674.0388239037,1034674.0388239038,1.1251400678735703e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,E4-210202-G0,3.0885924928725217e-09,3.787526378589822e-12,0,0.7174938158637115,False,2,90016100|9624708,90016100|9624708,,,False,True,PASS,E7_RESULT,True,0.0030721000002813525,0.0,0.0,0.0011733999999705702,0.0,0.002962200000183657,5.159470099999453,5.260011200000008,1.0,1.0
E7-210202-G0-L2000,210202,G0,0,L2000,0.2,1034674.0388239668,1120.9560000000001,105389.99999900619,0.0,928163.0828249606,3099.416752680688,351522.9,573540.7660714287,5322.607142857141,0.1361450199966151,4.440892098500626e-16,106510.9559990062,106510.9559990062,1.0,0.0,0.0,5,13,5,48,1034674.0388238964,1034674.0388238054,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,,0.0,0.0,0,0.0,False,2,90016100|9624708,90016100|9624708,,,False,True,PASS,E7_RESULT,True,0.0018626999990374316,0.0700676000014937,0.0034089000000676606,0.00225979999959236,0.014368599997396814,0.06915119999757735,5.158665500002826,5.466626500001439,1.0,1.0
E7-210202-G2-L0025,210202,G2,2,L0025,0.0025,1058234.3217646715,1120.9560000000001,105367.1988794151,22.801119591109604,951723.3657656652,2026.7388158646058,360815.2958720616,588881.3310778218,5448.185023896603,0.12199755661050034,6.661338147750939e-16,106510.9559990062,106510.95599900621,1.0000000000000002,-1.4551915228366852e-11,0.00021407299725412614,5,35,5,144,1058234.3217646712,1058234.3217646715,2.2001804219089216e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,E5-210202-L0025,104.62388729045594,0.1282997785747599,3,0.7282633314077828,True,2,90016100|9624708,90016100|9624708,,,False,True,PASS,E7_RESULT,True,0.002115100000082748,0.0,0.0,0.000945699997828342,0.0,0.0009486999988439493,5.322269500000402,5.427876599998854,1.0227707297726372,1.0253837750895196
E7-210202-G2-L0500,210202,G2,2,L0500,0.05,1058780.7942496866,1120.9560000000001,104911.1764875929,478.8235114133023,952269.8382506805,2264.867797194165,358942.64917865157,591062.3212748348,5417.3568256608505,0.11974816491655471,1.3322676295501878e-15,106510.9559990062,106510.9559990062,1.0,0.0,0.004495532942336655,4,31,4,120,1058780.7942496866,1058780.7942496866,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,E4-210202-G2,112.22426048749267,0.13762008031004352,3,0.7466666613441874,True,2,90016100|9624708,90016100|9624708,,,False,True,MISSING_BY_REUSE_SCHEMA_SOURCE_REFERENCED,PASS,True,0.003345399996760534,0.0,0.0,0.0008927000017138198,0.0,0.0007807999973010737,5.136722000002919,5.2273727000028885,1.0232988888492696,1.0259725428341893
E7-210202-G2-L2000,210202,G2,2,L2000,0.2,1060814.859167269,1120.9560000000001,104445.99999938402,943.9999996221973,954303.9031682627,2181.385167164103,361666.48571470566,590456.0322864964,5435.821428575628,0.12491735347322615,1.2434497875801753e-14,106510.9559990062,106510.95599900623,1.0000000000000002,-2.9103830456733704e-11,0.008862938002650218,7,35,7,192,1060814.8591672687,1060814.859167269,2.1948282647232127e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,E5-210202-L2000,58.9999999763872,0.07235142116127283,3,0.7999999898758199,True,2,90016100|9624708,90016100|9624708,,,False,True,PASS,E7_RESULT,True,0.00306319999799598,0.0,0.0,0.0023723000012978446,0.0,0.002074600000923965,5.258700200000021,5.37412570000015,1.0252647880998487,1.0281640380090746
E7-210202-G4-L0025,210202,G4,4,L0025,0.0025,1076338.584810824,1120.9560000000001,105364.28119942361,25.718799582594126,969827.6288118176,2268.726299796602,365298.0238109277,602260.8787012751,5444.568384204593,0.1193115824698251,2.3314683517128287e-15,106510.9559990062,106510.95599900621,1.0000000000000002,-1.4551915228366852e-11,0.0002414662354812973,5,61,5,240,1076338.5848108237,1076338.584810824,2.1631728801656932e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,,118.0117835013823,0.14471729243251932,3,0.7282633320554573,True,2,90016100|9624708,90016100|9624708,,,False,True,PASS,E7_RESULT,True,0.002078800000163028,12.06845930000054,0.977515399998083,0.0010221000011370052,2935.7977489000004,0.0711196000011114,4.829465700000583,2955.6955006999997,1.0402682820130822,1.044889251423541
E7-210202-G4-L0500,210202,G4,4,L0500,0.05,1076954.985082896,1120.9560000000001,104849.90520777169,540.0947912344781,970444.0290838898,2201.006502963995,365538.0659403893,602704.9566407697,5453.141317399666,0.11677435380562971,1.6653345369377348e-15,106510.9559990062,106510.95599900617,0.9999999999999998,2.9103830456733704e-11,0.005070790945107257,4,53,4,200,1076954.985082896,1076954.985082896,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,E4-210202-G4,126.5847166955808,0.15523023989640325,3,0.7466666619479987,True,2,90016100|9624708,90016100|9624708,,,False,True,PASS,E7_RESULT,True,0.0018560999997134786,0.0,0.0,0.0014434999975492246,0.0,0.0018966999996337108,5.373845300000539,5.493775899998582,1.0408640254539026,1.0455533591470894
E7-210202-G4-L2000,210202,G4,4,L2000,0.2,1079234.082810126,1120.9560000000001,104445.99999938402,943.9999996221973,972723.1268111198,2181.3851671875273,368578.01428613503,601963.7273578792,5470.20714286135,0.12491735347332393,0.0,106510.9559990062,106510.95599900623,1.0000000000000002,-2.9103830456733704e-11,0.008862938002650218,7,60,7,320,1079234.082810126,1079234.082810126,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,,58.9999999763872,0.07235142116127283,3,0.7999999898758199,True,2,90016100|9624708,90016100|9624708,,,False,True,PASS,E7_RESULT,True,0.0018665999996301252,13.58017629999813,0.9135112000003573,0.0024510000002919696,2933.315066700001,0.06395720000000438,5.231441100000666,2954.962373999999,1.0430667459645622,1.04800885190406
E7-210628-G0-L0025,210628,G0,0,L0025,0.0025,625401.2683030802,1909.9080000000001,75498.92307531871,1.3255695982810474e-09,547992.4372277602,2381.6379954138138,207866.06153846148,337744.7376923077,3137.646153846153,0.14358015430039392,0.0,77408.83107532002,77408.83107532003,1.0000000000000002,-1.4551915228366852e-11,1.7124268379550225e-14,6,16,6,56,625401.2683030802,625401.2683030369,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,,1.9008062679404247e-08,3.136405133423101e-11,0,0.551295311995939,False,2,90016100|9624708,90016100|9624708,,,False,True,PASS,E7_RESULT,True,0.0020731000004161615,0.2079197999992175,0.002946399999927962,0.0026686000019253697,0.01161829999909969,0.055419500000425614,5.346485300000495,5.776725899999292,1.0,1.0
